sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:29482	Coffee	RO:0002453	Host of	EOL:18499074	Pellicularia koleroga	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:29482	Coffee	RO:0002453	Host of	EOL:998229	Stilbella flavida	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:487004	Luffa aegyptica	RO:0002453	Host of	EOL:18499074	Pellicularia koleroga	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:584428	Cucumis anguria	RO:0002453	Host of	EOL:18499074	Pellicularia koleroga	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:17266	Commelina	RO:0002453	Host of	EOL:998229	Stilbella flavida	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:639895	Inga vera	RO:0002453	Host of	EOL:998229	Stilbella flavida	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:488313	Velia sicyoides	RO:0002453	Host of	EOL:998229	Stilbella flavida	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:29482	Coffee	RO:0002453	Host of	EOL:1009451	Rosellinia bunodes	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:594860	Petiveria alliacea	RO:0002453	Host of	EOL:1009451	Rosellinia bunodes	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:596699	Graptophyllum pictum	RO:0002453	Host of	EOL:1009451	Rosellinia bunodes	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:41982225	Panax plumatum	RO:0002453	Host of	EOL:1009451	Rosellinia bunodes	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:1297451	Acalypha mosaica	RO:0002453	Host of	EOL:1009451	Rosellinia bunodes	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
EOL:29482	Coffee	RO:0002453	Host of	EOL:194494	Cercospora coffeicola	GEONAMES:4566966	Porto Rico	18.24829	-66.49989		doi:10.5962/bhl.title.37321	Fawcett, George L. Fungus Diseases of Coffee in Porto Rico. 1915.
